trip_number,location,next_location,dropoff_series,dropoff_status,vehicle_plate_no,month,day
7300113504,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - ORTIGAS EXT P,1,Scheduled,DUMMY 4W,11,12
7300113753,8174 BCFG DC Pinagbuhatan,ALABANG SUPERMARKET,1,Scheduled,ABC 7414,11,14
7300114280,8020 BCFG MCD,"KM 6 H/W, F/S & GEN. MDSE. - BAGUIO",1,Scheduled,NBE6630,10,28
7300114340,8050 BCFG Pampanga,KIMBERLIN ENTERPRISES - UGAC,1,Scheduled,BVW 313,11,14
7300114370,8070 BCFG Calamba,ROBINSONS SUPERMARKET- DC SUCAT,1,Completed,CAJ7426,11,14
7300114371,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - DELA PAZ,1,Scheduled,CXV 991,11,14
7300114375,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - MAYPAJO,1,Scheduled,NAW5503,11,14
7300114390,8420 South Mega DC,PUREGOLD PRICE CLUB - BALIBAGO STA.,1,Scheduled,ABK 3111,11,14
7300114391,8174 BCFG DC Pinagbuhatan,ULTRA MEGA MULTI SALES ALABANG (W-S,1,Scheduled,CAZ3535,11,13
7300114395,8420 South Mega DC,THE METRO GAISANO-METRO MARKET! MAR,1,Scheduled,WPH 943,11,20
7300114397,8420 South Mega DC,PUREGOLD PRICE CLUB - CALAMBA,1,Scheduled,CAQ 7736,11,14
7300114398,8110 BCFG Cavite,HEALTHYFOOD AND SNACKS DIST - IMUS,1,Scheduled,CAN 5949,11,16
7300114401,8110 BCFG Cavite,"KM 6 H/W, F/S & GEN. MDSE. - BAGUIO",1,Scheduled,NBQ7983,11,11
7300114404,8110 BCFG Cavite,NEW GENERATION FOOD PRODUCTS TARLAC,1,Scheduled,CAO4790,11,16
7300114405,8060 BCFG Tarlac,LAOAG SOLID 8 - LAOAG,1,Scheduled,AWA 876,11,5
7300114408,8060 BCFG Tarlac,LAOAG SOLID 8 - CANDON,1,Scheduled,AWA 876,11,6
7300114441,8174 BCFG DC Pinagbuhatan,ALLDAY RETAIL CONCEPTS INC.,1,Scheduled,RMH 688,11,14
7300114453,8050 BCFG Pampanga,PHILIPPINE SEVEN - PAMPANGA,1,Scheduled,AVL 847,11,12
7300114464,8110 BCFG Cavite,8410 North Mega DC,1,Completed,RHT 700,11,14
7300114507,8060 BCFG Tarlac,HEALTHYFOOD AND SNACKS DIST - IMUS,1,Scheduled,NAY4843,11,18
7300114520,8070 BCFG Calamba,"MATRIX MASTER MKTG., INC.-INFANTA",1,Scheduled,CAI4313,10,29
7300114522,8420 South Mega DC,ROBINSONS SUPERMARKET - TUNASAN,1,Scheduled,RJE 292,11,15
7300114527,8060 BCFG Tarlac,"KM 6 H/W, F/S & GEN. MDSE. - BAGUIO",1,Scheduled,CAL 2727,11,19
7300114542,8410 North Mega DC,LAOAG SOLID 8 - BANTAY,1,Scheduled,AVL 847,11,14
7300114552,8410 North Mega DC,KIMBERLIN ENTERPRISES - CAUAYAN,1,Scheduled,BVW 311,11,11
7300114612,8050 BCFG Pampanga,SUY SING COMMERCIAL-MEYCAUAYAN BUL.,1,Completed,AAT 4719,11,18
7300114642,8174 BCFG DC Pinagbuhatan,"PRIME MKTG. AND DIST., INC.",1,Scheduled,AWA 6082,11,5
7300114662,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - JR PASIG,1,Scheduled,TGH 907,11,14
7300114673,8410 North Mega DC,ATHENA PRIME MARKETING,1,Scheduled,CXT 843,11,18
7300114688,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - SUCAT,1,Scheduled,XSF 190,11,14
7300114734,8174 BCFG DC Pinagbuhatan,8070 BCFG Calamba,1,Arrived at Drop off,JAG 7990,11,13
7300114738,8174 BCFG DC Pinagbuhatan,8110 BCFG Cavite,1,Scheduled,AFA8081,11,13
7300114759,8174 BCFG DC Pinagbuhatan,LIANA'S SUPERMARKET - LEVERIZA,1,Scheduled,PNP 905,11,10
7300114858,8420 South Mega DC,SUPER SM - DAET,1,Scheduled,CAR 1799,11,16
7300115054,8050 BCFG Pampanga,ULTRA MEGA MULTI SALES BALIWAG (W-S,1,Scheduled,CXT 833,11,13
7300115064,8174 BCFG DC Pinagbuhatan,UNI-MEC SUPERMART - MAKATI,1,Scheduled,RLW 535,11,14
7300115165,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - OSMENA HIGHWA,1,Scheduled,NCW6147,11,5
7300115279,8180 BCFG San Pedro 2,STRATEGIC DISTRIBUTORS INC.,1,Scheduled,UVM698,11,7
7300115296,8410 North Mega DC,DMAYA PLUS ENTERPRISES-BAYOMBONG,1,Scheduled,BVU228,11,16
7300115351,8180 BCFG San Pedro 2,THOCH MARKETING CORPORATION,1,Scheduled,AFA 8276,10,29
7300115371,8410 North Mega DC,OCAMPO'S MARKETING INC.-SAN MIGUEL,1,Scheduled,CXT 820,11,21
7300115559,8070 BCFG Calamba,ULTRA MEGA MULTI SALES ALABANG (W-S,1,Completed,CAP 7471,11,18
7300115636,8420 South Mega DC,PUREGOLD PRICE CLUB - TANZA,1,Completed,UYE 689,11,14
7300115656,8160 BCFG Binan,8173 BCFG DC Conso-Marilao,1,Scheduled,GTY0958,11,19
7300115694,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - QUEZON AVE.,1,Scheduled,CXV 995,11,14
7300115695,8090 BCFG San Pablo,MAKOBOBI DISTRIBUTORS - GEN TINIO,1,Scheduled,MUT 7462,11,13
