log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
8050 BCFG Pampanga,NA,#292,NA,2021-01-05T05:49:50Z,NA,NA,DHL,NA,NA
PUREGOLD PRICE CLUB - TANGOS BALIUA,NA,ABJ 9335,NA,2021-01-05T05:50:06Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
PUREGOLD PRICE CLUB - BALIWAG,NA,ABJ 9335,NA,2021-01-05T05:50:06Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
8410 North Mega DC,NA,138003,NA,2021-01-05T05:50:11Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8050 BCFG Pampanga,NA,138003,NA,2021-01-05T05:50:11Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WAQ257,WAQ257,2021-01-05T05:50:36Z,2021-01-04T09:00:00Z,7300245080,"DHL,Gtycoon Logistics Corporation,Nestle",20H 50M 36S,75036s (~20.84 hours)
8050 BCFG Pampanga,NA,ACN3562,NA,2021-01-05T05:51:58Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,ACN3562,NA,2021-01-05T05:51:58Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH DC Calamba MMC - Source,NA,WAQ938,NA,2021-01-05T05:52:55Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,TXU 276,NA,2021-01-05T05:53:15Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8050 BCFG Pampanga,NA,TXU 276,NA,2021-01-05T05:53:15Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
PUREGOLD PRICE CLUB - SAN PABLO EXT,NA,ICL2001,NA,2021-01-05T05:53:51Z,NA,NA,"DHL,Protege Logistics",NA,NA
LIANA'S SUPERMARKET- SAN PABLO CITY,NA,ICL2001,NA,2021-01-05T05:53:51Z,NA,NA,"DHL,Protege Logistics",NA,NA
SANFORD MARKETING - IBA ZAMBALES,NA,NIP 397,NA,2021-01-05T05:53:59Z,NA,NA,"DHL,RRL Trading",NA,NA
PUREGOLD PRICE CLUB - IBA ZAMBALES,NA,NIP 397,NA,2021-01-05T05:53:59Z,NA,NA,"DHL,RRL Trading",NA,NA
PH Batino Grocery - Source,NA,WAQ938,NA,2021-01-05T05:54:33Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Batino Grocery - Destination,NA,WAQ938,NA,2021-01-05T05:54:33Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,8420 South Mega DC,CCO 5779,CCO 5779,2021-01-05T05:54:53Z,2021-01-05T04:45:59Z,7300243972,"DHL,Boyemma Trading",1H 8M 54S,4134s (~1.15 hours)
PH DC Calamba MMC - Source,NA,WAQ938,NA,2021-01-05T05:55:11Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WAQ257,WAQ257,2021-01-05T05:55:35Z,2021-01-04T09:00:00Z,7300245080,"DHL,Gtycoon Logistics Corporation,Nestle",20H 55M 35S,75335s (~20.93 hours)
BES SERV LOGISTICS CORP.,BES SERV LOGISTICS CORP.,NBB3541,NBB3541,2021-01-05T05:56:09Z,2020-12-28T09:00:00Z,7300244305,"DHL,BES Serv Logistics Corp",7d 20H 56M 9S,680169s (~1.12 weeks)
8420 South Mega DC,8420 South Mega DC,CAQ 8684,CAQ 8684,2021-01-05T05:56:30Z,2020-12-30T04:31:00Z,7300241674,"DHL,Iron Horse",6d 1H 25M 30S,523530s (~6.06 days)
8420 South Mega DC,8420 South Mega DC,CAQ 8684,CAQ 8684,2021-01-05T05:56:30Z,2021-01-05T02:08:15Z,7300243901,"DHL,Iron Horse",3H 48M 15S,13695s (~3.8 hours)
PUREGOLD PRICE CLUB - BALER,NA,CAY1596,NA,2021-01-05T05:56:47Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
N.E. SUPERMART BALER,NA,CAY1596,NA,2021-01-05T05:56:47Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
SANFORD MARKETING - KANLAON,NA,NCW6151,NA,2021-01-05T05:57:34Z,NA,NA,"DHL,IMFG Trucking Services",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WAQ257,WAQ257,2021-01-05T05:57:47Z,2021-01-04T09:00:00Z,7300245080,"DHL,Gtycoon Logistics Corporation,Nestle",20H 57M 47S,75467s (~20.96 hours)
PUREGOLD PRICE CLUB - KALENTONG,NA,ABD 1151,NA,2021-01-05T05:58:05Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8020 BCFG MCD,NA,UVV628,NA,2021-01-05T05:58:06Z,NA,NA,"DHL,RGE Transport",NA,NA
BES SERV LOGISTICS CORP.,BES SERV LOGISTICS CORP.,NBB3541,NBB3541,2021-01-05T05:59:01Z,2020-12-28T09:00:00Z,7300244305,"DHL,BES Serv Logistics Corp",7d 20H 59M 1S,680341s (~1.12 weeks)
PUREGOLD PRICE CLUB - KALENTONG,NA,ABD 1151,NA,2021-01-05T06:00:02Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
NA,NA,WAQ257,NA,2021-01-05T06:00:32Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WAQ257,WAQ257,2021-01-05T06:00:32Z,2021-01-04T09:00:00Z,7300245080,"DHL,Gtycoon Logistics Corporation,Nestle",21H 0M 32S,75632s (~21.01 hours)
8410 North Mega DC,8410 North Mega DC,AMA 2915,AMA 2915,2021-01-05T06:00:56Z,2021-01-05T03:51:17Z,7300244247,"DHL,DMaya One Logistics",2H 9M 39S,7779s (~2.16 hours)
8050 BCFG Pampanga,NA,AMA 2915,NA,2021-01-05T06:00:56Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
8180 BCFG San Pedro 2,NA,NLQ 761,NA,2021-01-05T06:01:25Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8420 South Mega DC,NA,ADK5723,NA,2021-01-05T06:01:45Z,NA,NA,"DHL,Gods Favor",NA,NA
PUREGOLD PRICE CLUB - BALER,NA,CAY1596,NA,2021-01-05T06:01:46Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
8050 BCFG Pampanga,NA,TXU 276,NA,2021-01-05T06:02:00Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8410 North Mega DC,NA,TXU 276,NA,2021-01-05T06:02:00Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
PUREGOLD PRICE CLUB - KALENTONG,NA,ABD 1151,NA,2021-01-05T06:02:22Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
Waltermart - Makiling,NA,WAQ938,NA,2021-01-05T06:03:26Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8330 BCFG GMA MEGA DC,NA,NCW6148,NA,2021-01-05T06:04:27Z,NA,NA,"DHL,IMFG Trucking Services",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WAQ257,WAQ257,2021-01-05T06:04:54Z,2021-01-04T09:00:00Z,7300245080,"DHL,Gtycoon Logistics Corporation,Nestle",21H 4M 54S,75894s (~21.08 hours)
SUPERVALUE - MONUMENTO DEPOT,NA,CAY 8454,NA,2021-01-05T06:05:28Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUPER SM - VALENZUELA,NA,CAY 8454,NA,2021-01-05T06:05:28Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
8070 BCFG Calamba,NA,UYE 318,NA,2021-01-05T06:05:39Z,NA,NA,"DHL,M.P. Kagaoan Ent. Inc.",NA,NA
SUY SING COMMERCIAL-MEYCAUAYAN BUL.,NA,NAU 3065,NA,2021-01-05T06:06:33Z,NA,NA,"DHL,Upright Carrier",NA,NA
SANFORD MARKETING - SAN ILDEFONSO,NA,WTD 472,NA,2021-01-05T06:07:04Z,NA,NA,"DHL,RRL Trading",NA,NA
8050 BCFG Pampanga,NA,CXT 820,NA,2021-01-05T06:07:20Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8410 North Mega DC,NA,CXT 820,NA,2021-01-05T06:07:20Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8110 BCFG Cavite,NA,RHU 819,NA,2021-01-05T06:07:33Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
8410 North Mega DC,8410 North Mega DC,AMA 2915,AMA 2915,2021-01-05T06:07:47Z,2021-01-05T03:51:17Z,7300244247,"DHL,DMaya One Logistics",2H 16M 30S,8190s (~2.28 hours)
8050 BCFG Pampanga,NA,AMA 2915,NA,2021-01-05T06:07:47Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
SANFORD MARKETING - MONUMENTO DEPOT,NA,CAY 8454,NA,2021-01-05T06:07:48Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUPER SM - MONUMENTO DEPOT,NA,CAY 8454,NA,2021-01-05T06:07:48Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUPER SM - MONUMENTO,NA,CAY 8454,NA,2021-01-05T06:07:48Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUPERVALUE - MONUMENTO DEPOT,NA,CAY 8454,NA,2021-01-05T06:07:48Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUPER SM - VALENZUELA,NA,CAY 8454,NA,2021-01-05T06:07:48Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
SUY SING COMMERCIAL-MEYCAUAYAN BUL.,NA,ABA4337,NA,2021-01-05T06:08:14Z,NA,NA,"DHL,Upright Carrier",NA,NA
Chowking - Jentec,NA,YJE918,NA,2021-01-05T06:09:05Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8050 BCFG Pampanga,NA,CXT 820,NA,2021-01-05T06:09:22Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8410 North Mega DC,NA,CXT 820,NA,2021-01-05T06:09:22Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
SANFORD MARKETING - REMPSON,NA,CAQ2532,NA,2021-01-05T06:09:36Z,NA,NA,"DHL,IMFG Trucking Services",NA,NA
"MATRIX MASTER MKTG., INC. - LOWER L",NA,CAH 3298,NA,2021-01-05T06:10:04Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,UYE 318,NA,2021-01-05T06:10:22Z,NA,NA,"DHL,M.P. Kagaoan Ent. Inc.",NA,NA
PUREGOLD PRICE CLUB - MINDANAO AVEN,NA,WDK 654,NA,2021-01-05T06:11:09Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8410 North Mega DC,NA,UNT209,NA,2021-01-05T06:11:17Z,NA,NA,"DHL,MTL Castro Trucking",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,UNT209,UNT209,2021-01-05T06:11:17Z,2020-12-30T02:30:05Z,7300238736,"DHL,MTL Castro Trucking",6d 3H 41M 12S,531672s (~6.15 days)
8020 BCFG MCD,8020 BCFG MCD,NAW4816,NAW4816,2021-01-05T06:11:43Z,2021-01-05T04:05:49Z,7300244866,"DHL,Gods Favor",2H 5M 54S,7554s (~2.1 hours)
PH Tanauan - Source,NA,WAQ887,NA,2021-01-05T06:12:01Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Chowking - Jentec,NA,YJE918,NA,2021-01-05T06:12:06Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,UYE 318,NA,2021-01-05T06:12:22Z,NA,NA,"DHL,M.P. Kagaoan Ent. Inc.",NA,NA
PUREGOLD PRICE CLUB - PUREZA JR,NA,WVQ227,NA,2021-01-05T06:12:32Z,NA,NA,"DHL,Genecorz Enterprises",NA,NA
8050 BCFG Pampanga,NA,AVY384,NA,2021-01-05T06:13:02Z,NA,NA,"DHL,Axle Freight Services",NA,NA
8410 North Mega DC,NA,AVY384,NA,2021-01-05T06:13:02Z,NA,NA,"DHL,Axle Freight Services",NA,NA
PH Tanauan - Destination,NA,WAQ887,NA,2021-01-05T06:13:05Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
IMC - Cabuyao Factory,NA,CDK6083,NA,2021-01-05T06:13:28Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Cabuyao FG UHT - Source,NA,CDK6083,NA,2021-01-05T06:13:28Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8070 BCFG Calamba,NA,RBM 812,NA,2021-01-05T06:14:20Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
SUPER GROCERS INC. - SAN PEDRO,NA,BVW302,NA,2021-01-05T06:14:25Z,NA,NA,"DHL,Kimberlin Trucking",NA,NA
DMAYA PLUS ENTERPRISES-ISABELA,DMAYA PLUS ENTERPRISES-ISABELA,BVU 188,BVU 188,2021-01-05T06:14:29Z,2020-12-17T09:00:00Z,7300240008,"DHL,DHL,DMaya One Logistics",18d 21H 14M 29S,1631669s (~2.7 weeks)
DMAYA PLUS ENTERPRISES-ISABELA,DMAYA PLUS ENTERPRISES-ISABELA,BVU 188,BVU 188,2021-01-05T06:14:29Z,2020-12-24T09:00:00Z,7300244752,"DHL,DHL,DMaya One Logistics",11d 21H 14M 29S,1026869s (~1.7 weeks)
8050 BCFG Pampanga,NA,WAQ 249,NA,2021-01-05T06:14:45Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
8410 North Mega DC,8410 North Mega DC,WAQ 249,WAQ 249,2021-01-05T06:14:45Z,2021-01-05T03:22:22Z,7300244240,"DHL,DMaya One Logistics",2H 52M 23S,10343s (~2.87 hours)
8020 BCFG MCD,8020 BCFG MCD,CAT9068,CAT9068,2021-01-05T06:14:46Z,2021-01-04T05:00:00Z,7300244076,"DHL,MDP Trucking,DHL,MDP Trucking",1d 1H 14M 46S,90886s (~1.05 days)
PUREGOLD PRICE CLUB - BACOOR,NA,DAZ5876,NA,2021-01-05T06:14:54Z,NA,NA,"DHL,Connected Freight",NA,NA
SUPER GROCERS INC. - SAN PEDRO,NA,BVW 306,NA,2021-01-05T06:15:34Z,NA,NA,"DHL,Kimberlin Trucking",NA,NA
8070 BCFG Calamba,NA,CAA6847,NA,2021-01-05T06:15:44Z,NA,NA,"DHL,MDP Trucking",NA,NA
8060 BCFG Tarlac,8060 BCFG Tarlac,CCN8018,CCN8018,2021-01-05T06:15:58Z,2020-12-28T09:00:00Z,7300242786,"DHL,Gods Favor",7d 21H 15M 58S,681358s (~1.13 weeks)
SUPER GROCERS INC. - SAN PEDRO,NA,BVW302,NA,2021-01-05T06:16:25Z,NA,NA,"DHL,Kimberlin Trucking",NA,NA
SANFORD MARKETING - STA. ANA,NA,ABD 1151,NA,2021-01-05T06:16:31Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8070 BCFG Calamba,NA,BYM8503,NA,2021-01-05T06:17:27Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8420 South Mega DC,8420 South Mega DC,RES 658,RES 658,2021-01-05T06:17:55Z,2020-12-30T03:10:00Z,7300240795,"DHL,Iron Horse",6d 3H 7M 55S,529675s (~6.13 days)
8420 South Mega DC,8420 South Mega DC,RES 658,RES 658,2021-01-05T06:17:55Z,2021-01-05T01:09:02Z,7300244948,"DHL,Iron Horse",5H 8M 53S,18533s (~5.15 hours)
8330 BCFG GMA MEGA DC,NA,NEG 1013,NA,2021-01-05T06:18:24Z,NA,NA,"DHL,Upright Carrier",NA,NA
Chowking - Jentec,NA,YJE918,NA,2021-01-05T06:18:28Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,UNT209,NA,2021-01-05T06:19:48Z,NA,NA,"DHL,MTL Castro Trucking",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,UNT209,UNT209,2021-01-05T06:19:48Z,2020-12-30T02:30:05Z,7300238736,"DHL,MTL Castro Trucking",6d 3H 49M 43S,532183s (~6.16 days)
8160 BCFG Binan,NA,NAG 4138,NA,2021-01-05T06:19:50Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8050 BCFG Pampanga,NA,WAQ 249,NA,2021-01-05T06:20:10Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
8410 North Mega DC,8410 North Mega DC,WAQ 249,WAQ 249,2021-01-05T06:20:10Z,2021-01-05T03:22:22Z,7300244240,"DHL,DMaya One Logistics",2H 57M 48S,10668s (~2.96 hours)
8420 South Mega DC,NA,AUA7959,NA,2021-01-05T06:20:31Z,NA,NA,DHL,NA,NA
"MATRIX MASTER MKTG., INC.-SAN PABLO","MATRIX MASTER MKTG., INC.-SAN PABLO",CAH 3298,CAH 3298,2021-01-05T06:21:32Z,2020-12-12T09:00:00Z,7300244273,"DHL,Express 23 Trucking",23d 21H 21M 32S,2064092s (~3.41 weeks)
NA,NA,WIE754,NA,2021-01-05T06:21:36Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
PH Meycauayan Grocery - Source,NA,WIE754,NA,2021-01-05T06:21:36Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
IMC - NBS/NDC,NA,WIE754,NA,2021-01-05T06:21:36Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
PH Meycauayan Grocery - Destination,NA,WIE754,NA,2021-01-05T06:21:36Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
8100 BCFG San Pedro,NA,CDK 4862,NA,2021-01-05T06:22:43Z,NA,NA,"DHL,SDO Trucking",NA,NA
ULTRA MEGA MULTI SALES - STO. TOMAS,NA,WAQ887,NA,2021-01-05T06:22:53Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8180 BCFG San Pedro 2,NA,CCO9446,NA,2021-01-05T06:23:09Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,8420 South Mega DC,NBK 4650,NBK 4650,2021-01-05T06:23:17Z,2021-01-05T06:19:43Z,7300245087,"DHL,Express 23 Trucking",3M 34S,214s (~3.57 minutes)
"MATRIX MASTER MKTG., INC. - LOWER L",NA,CAH 3298,NA,2021-01-05T06:23:32Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
8420 South Mega DC,NA,SPC9044,NA,2021-01-05T06:24:12Z,NA,NA,"DHL,SPC Trucking",NA,NA
NA,NA,WIE754,NA,2021-01-05T06:24:39Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
Savemore - Malhacan,NA,WIE754,NA,2021-01-05T06:24:39Z,NA,NA,"DHL,WF Agro Freight Services,Nestle",NA,NA
"MATRIX MASTER MKTG., INC.-SAN PABLO","MATRIX MASTER MKTG., INC.-SAN PABLO",CAH 3298,CAH 3298,2021-01-05T06:24:55Z,2020-12-12T09:00:00Z,7300244273,"DHL,Express 23 Trucking",23d 21H 24M 55S,2064295s (~3.41 weeks)
8180 BCFG San Pedro 2,NA,NBO 9769,NA,2021-01-05T06:25:13Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
ULTRA MEGA MULTI SALES - STO. TOMAS,NA,WAQ887,NA,2021-01-05T06:25:28Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
"FISHER RETAIL, INC. - QUEZON AVE.",NA,UHP423,NA,2021-01-05T06:26:12Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
SUPER GROCERS INC. - SAN PEDRO,NA,NBL2891,NA,2021-01-05T06:27:08Z,NA,NA,"DHL,Unizone Logistics Services, Inc",NA,NA
PUREGOLD PRICE CLUB - TARLAC PALM P,NA,WVQ 349,NA,2021-01-05T06:27:24Z,NA,NA,"DHL,RG Pena Trucking Services",NA,NA
ROBINSONS SUPERMARKET - TALAVERA,NA,MGS5042,NA,2021-01-05T06:29:24Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
8050 BCFG Pampanga,NA,SPC9033,NA,2021-01-05T06:29:26Z,NA,NA,"DHL,SPC Trucking",NA,NA
8410 North Mega DC,NA,SPC9033,NA,2021-01-05T06:29:26Z,NA,NA,"DHL,SPC Trucking",NA,NA
SUPER GROCERS INC. - SAN PEDRO,NA,NBL2891,NA,2021-01-05T06:29:27Z,NA,NA,"DHL,Unizone Logistics Services, Inc",NA,NA
8110 BCFG Cavite,NA,AAV 4455,NA,2021-01-05T06:30:15Z,NA,NA,"DHL,Kimberlin Trucking",NA,NA
8080 BCFG Canlubang,8080 BCFG Canlubang,WQW260,WQW260,2021-01-05T06:30:24Z,2021-01-05T06:30:21Z,7300246068,"DHL,Gods Favor",3S,3s
PUREGOLD PRICE CLUB - SAN MIGUEL,NA,WTD 472,NA,2021-01-05T06:30:35Z,NA,NA,"DHL,RRL Trading",NA,NA
ROBINSON'S SUPERMARKET CORPORATION,NA,NBE 5085,NA,2021-01-05T06:31:04Z,NA,NA,DHL,NA,NA
8070 BCFG Calamba,NA,RMV 985,NA,2021-01-05T06:32:36Z,NA,NA,"DHL,Thoch Marketing",NA,NA
8050 BCFG Pampanga,NA,ABJ9350,NA,2021-01-05T06:32:44Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,ABJ9350,NA,2021-01-05T06:32:44Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
ROBINSON'S SUPERMARKET CORPORATION,NA,NBE 5085,NA,2021-01-05T06:33:12Z,NA,NA,DHL,NA,NA
"FISHER RETAIL, INC. - QUEZON AVE.",NA,WJK 489,NA,2021-01-05T06:33:19Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8420 South Mega DC,NA,CAH8419,NA,2021-01-05T06:33:35Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
NA,NA,WVQ227,NA,2021-01-05T06:33:41Z,NA,NA,"DHL,Genecorz Enterprises",NA,NA
SUPER SM - MAKATI,NA,WVQ227,NA,2021-01-05T06:33:41Z,NA,NA,"DHL,Genecorz Enterprises",NA,NA
8420 South Mega DC,8420 South Mega DC,CAP 7471,CAP 7471,2021-01-05T06:33:49Z,2020-12-30T07:20:51Z,7300240746,"DHL,Iron Horse",5d 23H 12M 58S,515578s (~5.97 days)
8420 South Mega DC,8420 South Mega DC,CAP 7471,CAP 7471,2021-01-05T06:33:49Z,2020-12-30T03:12:00Z,7300240796,"DHL,Iron Horse",6d 3H 21M 49S,530509s (~6.14 days)
PUREGOLD PRICE CLUB - BETTERLIVING,NA,B1C239,NA,2021-01-05T06:36:26Z,NA,NA,"DHL,Redex Sales & Logistics, Inc.",NA,NA
8110 BCFG Cavite,NA,RGG 157,NA,2021-01-05T06:36:29Z,NA,NA,"DHL,Iron Horse",NA,NA
SUY SING COMMERCIAL-MEYCAUAYAN BUL.,NA,ABA4337,NA,2021-01-05T06:36:34Z,NA,NA,"DHL,Upright Carrier",NA,NA
PH DC Calamba MMC - Source,NA,CDK6083,NA,2021-01-05T06:36:37Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
SUPER SM - MAKATI,NA,WVQ227,NA,2021-01-05T06:36:50Z,NA,NA,"DHL,Genecorz Enterprises",NA,NA
8330 BCFG GMA MEGA DC,NA,NAT8755,NA,2021-01-05T06:37:08Z,NA,NA,"DHL,Gods Favor",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,AVA 4336,AVA 4336,2021-01-05T06:37:11Z,2021-01-05T00:08:26Z,7300242702,"DHL,Upright Carrier",6H 28M 45S,23325s (~6.48 hours)
8160 BCFG Binan,NA,NLQ 761,NA,2021-01-05T06:37:23Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
PH Batino Grocery - Source,NA,CDK6083,NA,2021-01-05T06:37:26Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Batino Grocery - Destination,NA,CDK6083,NA,2021-01-05T06:37:26Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8050 BCFG Pampanga,NA,ABJ9350,NA,2021-01-05T06:38:26Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,ABJ9350,NA,2021-01-05T06:38:26Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH DC Calamba MMC - Source,NA,CDK6083,NA,2021-01-05T06:39:14Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
WALTERMART SUPERMARKET - STA. MARIA,NA,UBU969,NA,2021-01-05T06:39:21Z,NA,NA,"DHL,RRL Trading",NA,NA
PUREGOLD PRICE CLUB - BETTERLIVING,NA,B1C239,NA,2021-01-05T06:39:26Z,NA,NA,"DHL,Redex Sales & Logistics, Inc.",NA,NA
SUY SING COMMERCIAL-MEYCAUAYAN BUL.,NA,CAL 9642,NA,2021-01-05T06:39:26Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
8420 South Mega DC,NA,NA,NA,2021-01-05T06:39:48Z,NA,NA,"DHL,Bulldog Trucking Service",NA,NA
PUREGOLD PRICE CLUB - SAN MIGUEL,NA,WTD 472,NA,2021-01-05T06:40:24Z,NA,NA,"DHL,RRL Trading",NA,NA
8420 South Mega DC,8420 South Mega DC,AUA 9788,AUA 9788,2021-01-05T06:40:46Z,2021-01-04T09:00:00Z,7300245198,"DHL,SPC Trucking",21H 40M 46S,78046s (~21.68 hours)
8420 South Mega DC,8420 South Mega DC,AUA 9788,AUA 9788,2021-01-05T06:40:46Z,2021-01-05T06:40:43Z,7300246113,"DHL,SPC Trucking",3S,3s
PUREGOLD PRICE CLUB - BURNHAM PARK,NA,AVA 4020,NA,2021-01-05T06:40:58Z,NA,NA,"DHL,TGG Truckers",NA,NA
Chowking - Jentec,NA,UVL598,NA,2021-01-05T06:41:07Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8050 BCFG Pampanga,NA,138003,NA,2021-01-05T06:41:41Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,138003,NA,2021-01-05T06:41:41Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
"FISHER RETAIL, INC. - QUEZON AVE.",NA,WJK 489,NA,2021-01-05T06:42:46Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8110 BCFG Cavite,NA,CAL9657,NA,2021-01-05T06:42:53Z,NA,NA,"DHL,Truckmans Enterprises Inc",NA,NA
8050 BCFG Pampanga,NA,CAK 2622,NA,2021-01-05T06:42:59Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8410 North Mega DC,NA,CAK 2622,NA,2021-01-05T06:42:59Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8080 BCFG Canlubang,8080 BCFG Canlubang,WQW260,WQW260,2021-01-05T06:43:32Z,2021-01-05T06:30:21Z,7300246068,"DHL,Gods Favor",13M 11S,791s (~13.18 minutes)
8050 BCFG Pampanga,NA,ABJ9350,NA,2021-01-05T06:44:00Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8410 North Mega DC,NA,ABJ9350,NA,2021-01-05T06:44:00Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
