log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
PH Batino Grocery - Source,NA,UVL721,NA,2020-12-29T17:31:05Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Batino Grocery - Destination,NA,UVL721,NA,2020-12-29T17:31:05Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,NA,NA,NA,2020-12-29T17:31:08Z,NA,NA,DHL,NA,NA
8020 BCFG MCD,NA,ABK7856,NA,2020-12-29T17:34:21Z,NA,NA,"DHL,Gods Favor",NA,NA
8070 BCFG Calamba,NA,#292,NA,2020-12-29T17:35:19Z,NA,NA,DHL,NA,NA
8174 BCFG DC Pinagbuhatan,NA,AUC2299,NA,2020-12-29T17:38:13Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,ALA 7678,ALA 7678,2020-12-29T17:38:36Z,2021-01-08T23:01:00Z,7300244156,"DHL,DHL,DMaya One Logistics",-10d -5H -22M -24S,-883344s (~-1.46 weeks)
8070 BCFG Calamba,8070 BCFG Calamba,ALA 7678,ALA 7678,2020-12-29T17:38:36Z,2021-01-04T16:07:09Z,7300244592,"DHL,DHL,DMaya One Logistics",-5d -22H -28M -33S,-512913s (~-5.94 days)
8070 BCFG Calamba,NA,RKC 132,NA,2020-12-29T17:40:28Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2020-12-29T17:42:50Z,2020-12-29T16:18:44Z,7300240014,"DHL,RGE Transport",1H 24M 6S,5046s (~1.4 hours)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2020-12-29T17:42:50Z,2020-12-30T06:56:04Z,7300241713,"DHL,RGE Transport",-13H -13M -14S,-47594s (~-13.22 hours)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2020-12-29T17:42:50Z,2021-01-06T14:25:41Z,7300243938,"DHL,RGE Transport",-7d -20H -42M -51S,-679371s (~-1.12 weeks)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2020-12-29T17:42:50Z,2021-01-05T23:01:00Z,7300243940,"DHL,RGE Transport",-7d -5H -18M -10S,-623890s (~-1.03 weeks)
ROBINSONS SUPERMARKET - TALAVERA,NA,CAO6833,NA,2020-12-29T17:42:54Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
8110 BCFG Cavite,NA,ABK7591,NA,2020-12-29T17:43:13Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,NA,AAT3652,NA,2020-12-29T17:43:23Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AAR1493,AAR1493,2020-12-29T17:43:28Z,2020-12-28T03:30:00Z,7300237817,"DHL,Gods Favor",1d 14H 13M 28S,137608s (~1.59 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AAR1493,AAR1493,2020-12-29T17:43:28Z,2020-12-28T03:33:00Z,7300237834,"DHL,Gods Favor",1d 14H 10M 28S,137428s (~1.59 days)
8070 BCFG Calamba,8070 BCFG Calamba,AUA 9788,AUA 9788,2020-12-29T17:43:55Z,2020-12-30T02:00:00Z,7300242002,"DHL,SPC Trucking",-8H -16M -5S,-29765s (~-8.27 hours)
8070 BCFG Calamba,8070 BCFG Calamba,AUA 9788,AUA 9788,2020-12-29T17:43:55Z,2020-12-30T02:00:00Z,7300242003,"DHL,SPC Trucking",-8H -16M -5S,-29765s (~-8.27 hours)
NA,NA,AUA9786,NA,2020-12-29T17:45:07Z,NA,NA,"DHL,DHL",NA,NA
8070 BCFG Calamba,NA,AUA9786,NA,2020-12-29T17:45:07Z,NA,NA,"DHL,DHL",NA,NA
8420 South Mega DC,NA,AUA1760,NA,2020-12-29T17:46:53Z,NA,NA,DHL,NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,ABJ9211,ABJ9211,2020-12-29T17:47:22Z,2020-12-29T13:16:12Z,7300239572,DHL,4H 31M 10S,16270s (~4.52 hours)
8050 BCFG Pampanga,NA,CXT843,NA,2020-12-29T17:47:48Z,NA,NA,"DHL,ACP Trucking",NA,NA
8410 North Mega DC,NA,CXT843,NA,2020-12-29T17:47:48Z,NA,NA,"DHL,ACP Trucking",NA,NA
8180 BCFG San Pedro 2,NA,NBO 9769,NA,2020-12-29T17:48:50Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8070 BCFG Calamba,NA,AUA9787,NA,2020-12-29T17:49:18Z,NA,NA,"DHL,SPC Trucking",NA,NA
8160 BCFG Binan,NA,NLQ 761,NA,2020-12-29T17:50:29Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,ABK7856,ABK7856,2020-12-29T17:52:25Z,2021-01-05T07:00:22Z,7300246202,"DHL,Gods Favor",-6d -13H -7M -57S,-565677s (~-6.55 days)
8180 BCFG San Pedro 2,NA,RES 917,NA,2020-12-29T17:53:04Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8060 BCFG Tarlac,NA,ABK7757,NA,2020-12-29T17:53:20Z,NA,NA,"DHL,Gods Favor",NA,NA
8050 BCFG Pampanga,NA,CXT843,NA,2020-12-29T17:53:32Z,NA,NA,"DHL,ACP Trucking",NA,NA
8410 North Mega DC,NA,CXT843,NA,2020-12-29T17:53:32Z,NA,NA,"DHL,ACP Trucking",NA,NA
8070 BCFG Calamba,NA,ABK1479,NA,2020-12-29T17:56:31Z,NA,NA,DHL,NA,NA
8020 BCFG MCD,NA,UVV628,NA,2020-12-29T17:56:55Z,NA,NA,"DHL,RGE Transport",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,NBK 4387,NBK 4387,2020-12-29T17:59:32Z,2021-01-03T08:25:00Z,7300241989,"DHL,Kilometrico Inc.",-4d -14H -25M -28S,-397528s (~-4.6 days)
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,NBK 4387,NBK 4387,2020-12-29T17:59:32Z,2021-01-04T05:04:00Z,7300242467,"DHL,Kilometrico Inc.",-5d -11H -4M -28S,-471868s (~-5.46 days)
8070 BCFG Calamba,8070 BCFG Calamba,AAQ7737,AAQ7737,2020-12-29T18:00:50Z,2020-12-29T13:37:37Z,7300239582,DHL,4H 23M 13S,15793s (~4.39 hours)
8070 BCFG Calamba,8070 BCFG Calamba,AAQ7737,AAQ7737,2020-12-29T18:00:50Z,2021-01-08T23:01:00Z,7300244250,DHL,-10d -5H 0M -10S,-882010s (~-1.46 weeks)
8070 BCFG Calamba,8070 BCFG Calamba,AAQ7737,AAQ7737,2020-12-29T18:00:50Z,2020-12-29T09:00:00Z,7300245166,DHL,9H 0M 50S,32450s (~9.01 hours)
8420 South Mega DC,8420 South Mega DC,CCO9446,CCO9446,2020-12-29T18:00:52Z,2020-12-28T05:35:00Z,7300238093,"DHL,Gods Favor",1d 12H 25M 52S,131152s (~1.52 days)
8060 BCFG Tarlac,NA,CAJ5897,NA,2020-12-29T18:01:06Z,NA,NA,"DHL,MDP Trucking",NA,NA
PUREGOLD PRICE CLUB - MERCEDES,NA,NBK 4387,NA,2020-12-29T18:01:17Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
"PUREGOLD PRICE CLUB - C. RAYMUNDO,",NA,CCO6660,NA,2020-12-29T18:01:50Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,NA,RKC 132,NA,2020-12-29T18:05:12Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8100 BCFG San Pedro,NA,RKS 597,NA,2020-12-29T18:05:27Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
PUREGOLD PRICE CLUB - MERCEDES,NA,NBK 4387,NA,2020-12-29T18:06:39Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8174 BCFG DC Pinagbuhatan,NA,WVQ159,NA,2020-12-29T18:06:58Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,NA,ABA9892,NA,2020-12-29T18:07:12Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
