trip_number,so_number,vehicle_plate_no,pickup_arrival,pickup_name,dropoff_arrival,dropoff_name
P300276832,NA,ANA8168,2021-01-07T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-08T00:00:00Z,PH Cagayan Grocery - Destination
P300276827,NA,UVQ414,2021-01-07T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-08T00:00:00Z,PH Cagayan Grocery - Destination
P300282872,NA,NA,2021-01-07T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-08T23:59:00Z,PH Cofipack - Destination
P300284420,NA,RNE755,2021-01-11T01:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-13T23:59:00Z,PH Cagayan Grocery - Destination
P300284430,NA,UVQ414,2021-01-11T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-12T23:59:00Z,PH Cagayan Grocery - Destination
P300294356,4038341104,RJK963,2021-01-29T14:00:00Z,PH Cagayan Grocery - Source,2021-01-30T07:00:00Z,Robinson's Supermarket - Cagayan de
P300293637,4038095985,KVW907,2021-01-28T13:00:00Z,PH Mandaue Grocery - Source,2021-01-29T14:00:00Z,FDC - Bohol
P300294129,4037844974,137704,2021-01-28T19:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-29T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300293059,NA,ANA8168,2021-01-29T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-30T23:59:00Z,PH Cofipack - Destination
P300294431,4038191077,KVW993,2021-01-29T14:00:00Z,PH Cagayan Grocery - Source,2021-01-30T05:00:00Z,SM Supermarket - Cagayan De Oro 2
P300294434,4038357276,KVX123,2021-01-29T17:00:00Z,PH Cagayan Grocery - Source,2021-01-30T05:00:00Z,Gaisano Puerto
P300294359,4038231328,CDK4043,2021-01-30T11:00:00Z,PH Mandaue Grocery - Source,2021-02-01T11:59:00Z,Robinsons - Tacloban
P300292579,4038177832,Cco9617,2021-01-25T11:00:00Z,PH Mandaue Grocery - Source,2021-01-26T14:00:00Z,FDC - Bohol
P300295212,4037905893,NCE1173,2021-01-31T17:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-02-01T07:32:00Z,No. 1 Supplier Inc. - Bacolod
P300295211,4038436721,JM0535,2021-01-31T13:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-02-01T07:32:00Z,No. 1 Supplier Inc. - Bacolod
P300293541,4037737583,GWB422,2021-01-26T13:00:00Z,PH Cofipack - Source,2021-01-27T16:00:00Z,"Maguindanao Distribution System,Inc"
P300287661,NA,NAR1498,2021-01-27T09:00:00Z,PH Lipa CPW FG - Source,2021-01-30T23:59:59Z,PH Meycauayan Grocery - Destination
P300291991,NA,NAR1498,2021-01-29T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-30T23:59:00Z,PH Batino Grocery - Destination
P300291995,NA,NA,2021-01-30T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-31T23:59:00Z,PH Batino Grocery - Destination
P300292190,NA,NAD6565,2021-01-29T22:00:00Z,PH Tanauan - Source,2021-01-30T23:59:00Z,PH Meycauayan Grocery - Destination
