plateno,geofence_name,first_timestamp,last_timestamp,time_duration_at_geofence,time_next
KAD4601,FDC - CDO,2021-01-05 03:30:48,2021-01-05 05:37:01,7573s (~2.1 hours),-7573s (~-2.1 hours)
KAD4601,Gaisano Citi Super Mall - Bulua,2021-01-05 03:30:48,2021-01-05 05:37:01,7573s (~2.1 hours),-7573s (~-2.1 hours)
KAD4601,PH Cagayan De Oro Fac FG - Source,2021-01-05 03:30:48,2021-01-05 05:36:53,7565s (~2.1 hours),-7506s (~-2.08 hours)
KAD4601,PH Cagayan De Oro Fac FG - Destination,2021-01-05 03:31:47,2021-01-05 05:36:42,7495s (~2.08 hours),66361s (~18.43 hours)
JM0314,FDC - CDO,2021-01-05 04:47:25,2021-01-05 10:07:14,19189s (~5.33 hours),-19189s (~-5.33 hours)
JM0314,Gaisano Citi Super Mall - Bulua,2021-01-05 04:47:25,2021-01-05 10:07:14,19189s (~5.33 hours),-19168s (~-5.32 hours)
JM0314,PH Cagayan De Oro Fac FG - Source,2021-01-05 04:47:46,2021-01-05 10:05:52,19086s (~5.3 hours),-19069s (~-5.3 hours)
JM0314,PH Cagayan De Oro Fac FG - Destination,2021-01-05 04:48:03,2021-01-05 10:05:52,19069s (~5.3 hours),18032s (~5.01 hours)
1301091079,PH Batino Grocery - Destination,2021-01-05 05:11:43,2021-01-05 12:56:25,27882s (~7.74 hours),-27882s (~-7.74 hours)
1301091079,PH Batino Grocery - Source,2021-01-05 05:11:43,2021-01-05 12:52:34,27651s (~7.68 hours),45683s (~12.69 hours)
ABK4138,Fivel Food Service - Neptune,2021-01-05 05:17:06,2021-01-05 05:24:13,427s (~7.12 minutes),-427s (~-7.12 minutes)
ABK4138,Fivel Food Service - Palma,2021-01-05 05:17:06,2021-01-05 05:24:13,427s (~7.12 minutes),-410s (~-6.83 minutes)
ABK4138,Fivel Food Service - Pacana,2021-01-05 05:17:23,2021-01-05 05:24:10,407s (~6.78 minutes),-407s (~-6.78 minutes)
ABK4138,Fivel Food Service - Tiano,2021-01-05 05:17:23,2021-01-05 05:24:10,407s (~6.78 minutes),7697s (~2.14 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-05 05:50:55,2021-01-05 07:29:58,5943s (~1.65 hours),1413s (~23.55 minutes)
ADC4769,PH Cofipack - Destination,2021-01-05 06:36:32,2021-01-05 06:48:45,733s (~12.22 minutes),-733s (~-12.22 minutes)
ADC4769,PH Cofipack - Source,2021-01-05 06:36:32,2021-01-05 06:48:45,733s (~12.22 minutes),91747s (~1.06 days)
ADC4768,PH Bacolod - Mansilingan DC - Source,2021-01-05 06:39:55,2021-01-05 17:25:41,38746s (~10.76 hours),-38744s (~-10.76 hours)
ADC4768,PH Bacolod - Mansilingan DC - Destination,2021-01-05 06:39:57,2021-01-05 17:25:41,38744s (~10.76 hours),NA
ABK4138,Fivel Food Service - Palma,2021-01-05 07:32:27,2021-01-05 08:51:07,4720s (~1.31 hours),-4718s (~-1.31 hours)
ABK4138,Fivel Food Service - Neptune,2021-01-05 07:32:29,2021-01-05 08:51:07,4718s (~1.31 hours),-4709s (~-1.31 hours)
ABK4138,Fivel Food Service - Pacana,2021-01-05 07:32:38,2021-01-05 08:50:41,4683s (~1.3 hours),-4653s (~-1.29 hours)
ABK4138,Fivel Food Service - Tiano,2021-01-05 07:33:08,2021-01-05 08:50:41,4653s (~1.29 hours),101390s (~1.17 days)
JM0535,PH Bacolod - Mansilingan DC - Source,2021-01-05 07:53:31,2021-01-05 17:27:06,34415s (~9.56 hours),-34413s (~-9.56 hours)
JM0535,PH Bacolod - Mansilingan DC - Destination,2021-01-05 07:53:33,2021-01-05 17:27:06,34413s (~9.56 hours),30795s (~8.55 hours)
KAD4602,PH Cagayan Grocery - Destination,2021-01-05 13:05:44,2021-01-05 17:19:33,15229s (~4.23 hours),-15229s (~-4.23 hours)
KAD4602,PH Cagayan Grocery - Source,2021-01-05 13:05:44,2021-01-05 17:19:33,15229s (~4.23 hours),34436s (~9.57 hours)
JM0314,PH Cagayan Grocery - Destination,2021-01-05 15:06:24,2021-01-06 03:10:30,43446s (~12.07 hours),-43444s (~-12.07 hours)
JM0314,PH Cagayan Grocery - Source,2021-01-05 15:06:26,2021-01-06 03:10:30,43444s (~12.07 hours),89032s (~1.03 days)
KAD4601,PH Cagayan Grocery - Destination,2021-01-06 00:02:43,2021-01-06 04:11:20,14917s (~4.14 hours),-14917s (~-4.14 hours)
KAD4601,PH Cagayan Grocery - Source,2021-01-06 00:02:43,2021-01-06 04:11:20,14917s (~4.14 hours),70523s (~19.59 hours)
1301091079,PH Tanauan - Destination,2021-01-06 01:33:57,2021-01-06 05:47:32,15215s (~4.23 hours),-15215s (~-4.23 hours)
1301091079,PH Tanauan - Source,2021-01-06 01:33:57,2021-01-06 05:47:32,15215s (~4.23 hours),84259s (~23.41 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-06 02:00:21,2021-01-06 03:28:30,5289s (~1.47 hours),11249s (~3.12 hours)
130102,PH Batino Grocery - Destination,2021-01-06 02:34:49,2021-01-06 06:16:47,13318s (~3.7 hours),-13194s (~-3.66 hours)
GAM1633,Gaisano Center - Tagum,2021-01-06 02:35:22,2021-01-06 03:43:14,4072s (~1.13 hours),435797s (~5.04 days)
130102,PH Batino Grocery - Source,2021-01-06 02:36:53,2021-01-06 06:16:47,13194s (~3.66 hours),28729s (~7.98 hours)
KAD4602,FDC - CDO,2021-01-06 02:53:29,2021-01-06 04:29:19,5750s (~1.6 hours),-5750s (~-1.6 hours)
KAD4602,Gaisano Citi Super Mall - Bulua,2021-01-06 02:53:29,2021-01-06 04:29:19,5750s (~1.6 hours),-5699s (~-1.58 hours)
KAD4602,PH Cagayan De Oro Fac FG - Destination,2021-01-06 02:54:20,2021-01-06 04:29:13,5693s (~1.58 hours),-5693s (~-1.58 hours)
KAD4602,PH Cagayan De Oro Fac FG - Source,2021-01-06 02:54:20,2021-01-06 04:29:19,5699s (~1.58 hours),481s (~8.02 minutes)
KAD4602,Save More - Kauswagan,2021-01-06 04:37:20,2021-01-06 04:43:25,365s (~6.08 minutes),-365s (~-6.08 minutes)
KAD4602,Save More - Kauswagan Depot,2021-01-06 04:37:20,2021-01-06 04:43:25,365s (~6.08 minutes),41086s (~11.41 hours)
JM3012,PH Cofipack - Destination,2021-01-06 05:36:09,2021-01-06 05:41:52,343s (~5.72 minutes),-343s (~-5.72 minutes)
JM3012,PH Cofipack - Source,2021-01-06 05:36:09,2021-01-06 05:41:52,343s (~5.72 minutes),75296s (~20.92 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-06 06:35:59,2021-01-06 09:21:53,9954s (~2.77 hours),65984s (~18.33 hours)
ZF7663,PH Mandaue Grocery - Destination,2021-01-06 07:35:29,2021-01-06 07:41:26,357s (~5.95 minutes),-21s
ZF7663,PH Mandaue Grocery - Source,2021-01-06 07:41:05,2021-01-06 08:08:26,1641s (~27.35 minutes),35688s (~9.91 hours)
ADC4769,PH Cofipack - Destination,2021-01-06 08:17:52,2021-01-06 08:39:49,1317s (~21.95 minutes),-1317s (~-21.95 minutes)
ADC4769,PH Cofipack - Source,2021-01-06 08:17:52,2021-01-06 08:39:49,1317s (~21.95 minutes),165769s (~1.92 days)
